Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS,1604293S,"ARTS, LETTRES, LANGUES",Arts plastiques,dossier,Formation initiale,1er semestre,Arts plastiques,6G2TU
0751718K,Université Paris-II,12  PLACE DU PANTHEON,75231,PARIS,0900969D,"DROIT, ECONOMIE, GESTION",Droit notarial,dossier,Formation initiale,1er semestre,,GBpkg
0751721N,Université Paris-V,12  RUE DE L'ECOLE DE MEDECINE,75270,PARIS,1302549P,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,,,O2v0H
0751723R,Université Paris-VII,5 rue Thomas Mann,75205,PARIS,1405043G,SCIENCES HUMAINES ET SOCIALES,Histoire et philosophie des sciences,dossier,Formation initiale,1er semestre,"Philosophie,Histoire,Chimie,Mathématiques,Physique,Sciences sociales,Sciences de la Terre,Sciences de la vie",5KpJ9
0753471R,Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,75141,PARIS,1900215J,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation continue,1er semestre,,XR16q
0755890V,Université Sorbonne Université,21 rue de l'Ecole de Médecine,75006,PARIS,1900252Z,SCIENCES HUMAINES ET SOCIALES,Histoire,dossier,"Formation initiale,Formation continue",1er semestre,,bxPQe
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN,1701296K,"DROIT, ECONOMIE, GESTION",Droit de l'entreprise,diplôme,"Formation initiale,Formation continue",1er semestre,"Droit,Administration économique et sociale",G4572
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN,1702276A,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,,G4572
0762762P,Université du Havre,25 RUE PHILIPPE LEBON,76063,LE HAVRE,1702165E,SCIENCES HUMAINES ET SOCIALES,Intervention et développement social,diplôme,Formation continue,1er semestre,,LsQ24
0762762P,Université du Havre,25 RUE PHILIPPE LEBON,76063,LE HAVRE,1701168W,SCIENCES HUMAINES ET SOCIALES,Ville et environnements urbains,diplôme,Formation initiale,1er semestre,,LsQ24
0772502B,Université de Marne-la-Vallée,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE,1502086C,"SCIENCES, TECHNOLOGIES, SANTÉ",Géomatique,diplôme,"Formation initiale,Formation continue",1er semestre,,9Y8CD
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES,1602215N,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,nkbwh
0911101C,Université Paris-XI,15  RUE GEORGES CLEMENCEAU,91405,ORSAY,1503398D,Autre Domaine,Staps : management du sport,diplôme,Formation initiale,1er semestre,,u13se
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1502761L,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie intégrative et physiologie,diplôme,Formation initiale,1er semestre,,dV766
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1502854M,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Apprentissage",1er semestre,,vb71K
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1502228G,"DROIT, ECONOMIE, GESTION",Management public,diplôme,"Formation initiale,Formation continue",3ème semestre,,vb71K
0951793H,Université de Cergy-Pontoise,33  BOULEVARD DU PORT,95011,CERGY PONTOISE,1501507Y,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,"Formation initiale,Formation continue",1er semestre,,W6CUQ
9710585J,UNIVERSITE DES ANTILLES,Campus de Fouillole,97157,POINTE A PITRE,1800943A,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,Formation initiale,1er semestre,,z3hdL
0062126D,COMUE Université Côte d'Azur,28 avenue VALROSE,6103,NICE,1800530B,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences du vivant,diplôme,"Formation initiale,Formation continue",1er semestre,,RDy6Q
0311383K,Université Toulouse-II,5  ALLÉES ANTONIO MACHADO,31058,TOULOUSE,1602138E,SCIENCES HUMAINES ET SOCIALES,Psychologie,diplôme,"Formation initiale,Formation continue",1er semestre,Psychologie,HqAYu
0311383K,Université Toulouse-II,5  ALLÉES ANTONIO MACHADO,31058,TOULOUSE,1603145Z,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,HqAYu
0331766R,Université Bordeaux-III,DOMAINE UNIVERSITAIRE,33607,PESSAC,1601480P,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,diplôme,Formation initiale,1er semestre,,Mz90U
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1601759T,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Droit international,diplôme,Formation initiale,1er semestre,,90I54
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1503171G,"DROIT, ECONOMIE, GESTION",Management stratégique,diplôme,"Formation initiale,Formation continue",1er semestre,Gestion,7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1503119A,"DROIT, ECONOMIE, GESTION",Économie et management publics,diplôme,"Formation initiale,Formation continue",1er semestre,"Economie,Gestion,Psychologie,Sciences pour l'ingénieur,Mathématiques et informatique appliquées aux sciences humaines et sociales",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1303356S,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,"Arts,Lettres,Histoire,Psychologie,Sciences de l'éducation,Sciences du langage,Chimie,Mathématiques,Physique,Physique, chimie,Arts plastiques,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Lettres, langues,Musicologie,Géographie et aménagement,Humanités,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre,Sciences et techniques des activités physiques et sportives,Sciences et technologies",7yd5d
0350097R,Institut national des sciences appliquées de Rennes,20  AVENUE DES BUTTES DE COESMES,35708,RENNES,1702252Z,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de l'eau,diplôme,Formation initiale,3ème semestre,,3GxJ8
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES,1702613S,"DROIT, ECONOMIE, GESTION",Droit notarial,diplôme,Formation initiale,1er semestre,Droit,9wAap
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1201125W,"DROIT, ECONOMIE, GESTION",Economie de l'entreprise et des marchés,diplôme,"Formation initiale,Formation continue",1er semestre,"Economie,Mathématiques,Economie et gestion,Mathématiques et informatique appliquées aux sciences humaines et sociales",cqkij
0381912X,Institut polytechnique de Grenoble,46  AVENUE FELIX VIALLET,38031,GRENOBLE,1602389C,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique,diplôme,"Formation initiale,Formation continue",3ème semestre,,2ALYK
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE,1601133M,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Droit de la propriété intellectuelle,diplôme,"Formation initiale,Formation continue",1er semestre,,F2yh2
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE,1602966E,"SCIENCES, TECHNOLOGIES, SANTÉ",Traitement du signal et des images,diplôme,"Formation initiale,Formation continue",1er semestre,,F2yh2
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE,1603028X,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et génie des matériaux,diplôme,"Formation initiale,Formation continue",1er semestre,,F2yh2
0440984F,Université de Nantes,2  QUAI DE TOURVILLE,44036,NANTES,1701489V,"DROIT, ECONOMIE, GESTION","Economie de l'environnement, de l'énergie et des transports",diplôme,Formation initiale,1er semestre,,7hB8r
0440984F,Université de Nantes,2  QUAI DE TOURVILLE,44036,NANTES,1703248G,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Alternance",1er semestre,,7hB8r
0450855K,Université d'Orléans,CHÂTEAU DE LA SOURCE,45067,ORLEANS,1800485C,"DROIT, ECONOMIE, GESTION","Marketing, vente",diplôme,,1er semestre,"Gestion,Economie et gestion,Sciences et techniques des activités physiques et sportives",HCBvW
0450855K,Université d'Orléans,CHÂTEAU DE LA SOURCE,45067,ORLEANS,1800462C,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,"Formation initiale,Formation continue",1er semestre,,HCBvW
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS,1703338E,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",1er semestre,,IXHyv
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1800310N,"SCIENCES, TECHNOLOGIES, SANTÉ",Réseaux et télécommunication,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,57OsX
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1301602K,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,"Formation initiale,Formation continue",1er semestre,,57OsX
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS,1801040F,"ARTS, LETTRES, LANGUES",Sciences du langage,diplôme,"Formation initiale,Formation continue",1er semestre,,57OsX
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON,1602422N,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON,1603392T,SCIENCES HUMAINES ET SOCIALES,Urbanisme et aménagement,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0692566P,Ecole nationale des travaux publics de l'Etat,3 RUE MAURICE AUDIN,69518,VAULX EN VELIN,1603392T,SCIENCES HUMAINES ET SOCIALES,Urbanisme et aménagement,diplôme,Formation initiale,,,56aH3
0694123G,Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,69342,LYON,1602809J,"SCIENCES, TECHNOLOGIES, SANTÉ",Didactique des sciences,diplôme,Formation initiale,1er semestre,,kWved
0694123G,Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,69342,LYON,1601126E,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Mondes anciens,diplôme,Formation initiale,1er semestre,,kWved
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS,1604324A,"DROIT, ECONOMIE, GESTION",Économie internationale,dossier,Formation initiale,1er semestre,"Economie,Science politique,Mathématiques,Economie et gestion,Mathématiques et informatique appliquées aux sciences humaines et sociales",6G2TU
0751718K,Université Paris-II,12  PLACE DU PANTHEON,75231,PARIS,1900172N,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",dossier,Formation initiale,1er semestre,Economie,GBpkg
0751721N,Université Paris-V,12  RUE DE L'ECOLE DE MEDECINE,75270,PARIS,1004670B,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,dossier,,,,O2v0H
0751723R,Université Paris-VII,5 rue Thomas Mann,75205,PARIS,0900842R,"SCIENCES, TECHNOLOGIES, SANTÉ",Didactique des sciences,dossier,Formation initiale,1er semestre,,5KpJ9
0753471R,Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,75141,PARIS,1604784A,SCIENCES HUMAINES ET SOCIALES,Humanités numériques,diplôme,"Formation continue,Alternance",1er semestre,,XR16q
0753471R,Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,75141,PARIS,1604794M,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,"Formation continue,Alternance",1er semestre,,XR16q
0753471R,Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,75141,PARIS,1900186C,"DROIT, ECONOMIE, GESTION",Contrôle de gestion et audit organisationnel,diplôme,Formation continue,1er semestre,,XR16q
0755700N,Communauté d'universités et établissements Université de Recherche Paris Sciences et Lettres - PSL Research University,62 BIS RUE GAY LUSSAC,75005,PARIS,1604735X,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et génie des matériaux,dossier,Formation initiale,1er semestre,,Olkw0
0755700N,Communauté d'universités et établissements Université de Recherche Paris Sciences et Lettres - PSL Research University,62 BIS RUE GAY LUSSAC,75005,PARIS,1604765E,"SCIENCES, TECHNOLOGIES, SANTÉ | ARTS, LETTRES, LANGUES",Humanités numériques,dossier,Formation initiale,1er semestre,,Olkw0
0755890V,Université Sorbonne Université,21 rue de l'Ecole de Médecine,75006,PARIS,1900247U,"ARTS, LETTRES, LANGUES",Lettres,dossier,"Formation initiale,Formation continue",1er semestre,,bxPQe
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN,1701703C,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue",1er semestre,,G4572
0762762P,Université du Havre,25 RUE PHILIPPE LEBON,76063,LE HAVRE,1703342J,"DROIT, ECONOMIE, GESTION",Droit de l'entreprise,diplôme,Formation initiale,1er semestre,,LsQ24
0772502B,Université de Marne-la-Vallée,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE,1501271S,"ARTS, LETTRES, LANGUES",Métiers du livre et de l'édition,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,9Y8CD
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS,1502233M,"SCIENCES, TECHNOLOGIES, SANTÉ",Staps : entraînement et optimisation de la performance sportive,diplôme,"Formation initiale,Formation continue",1er semestre,Sciences et techniques des activités physiques et sportives,8j5s2
0830766G,Université de Toulon,Avenue de l'UniversitÃ©,83041,TOULON,1800258F,Autre Domaine,Staps : entraînement et optimisation de la performance sportive,diplôme,Formation initiale,1er semestre,Sciences et techniques des activités physiques et sportives,C701f
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS,1801144U,SCIENCES HUMAINES ET SOCIALES,MIGRATIONS INTERNATIONALES,diplôme,"Formation initiale,Formation continue",1er semestre,"Droit,Science politique,Histoire,Sociologie,Géographie et aménagement,Humanités,Sciences de l'Homme, anthropologie, ethnologie,Sciences sociales",hlX1r
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1501961S,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,diplôme,Formation initiale,1er semestre,,dV766
0912330N,Communauté d'universités et établissements Université Paris-Saclay,ROUTE DE L'ORME AUX MERISIERS RD,91190,ST AUBIN,1502681Z,"DROIT, ECONOMIE, GESTION",Finance,diplôme,"Formation initiale,Apprentissage",1er semestre,,dV766
0921204J,Université Paris-X,200  AVENUE DE LA REPUBLIQUE,92001,NANTERRE,1402853R,SCIENCES HUMAINES ET SOCIALES,Métiers du livre et de l'édition,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0931238R,Université Paris-XIII,Avenue Jean-Baptiste Clément,93430,VILLETANEUSE,1505008U,CULTURE ET COMMUNICATION,Création numérique,dossier,"Formation initiale,Formation continue,Alternance",1er semestre,,cqyN7
0931827F,Université Paris-VIII,2  RUE DE LA LIBERTE,93526,ST DENIS,1503428L,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0941111X,Université Paris-XII,61  AVENUE DU GENERAL DE GAULLE,94010,CRETEIL,1502250F,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,1er semestre,,vb71K
0951793H,Université de Cergy-Pontoise,33  BOULEVARD DU PORT,95011,CERGY PONTOISE,1502363D,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,W6CUQ
9740478B,Université de La Réunion,15  AVENUE RENE CASSIN,97744,ST DENIS,1501322X,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,diplôme,Formation initiale,1er semestre,,cEt92
0311384L,Université Toulouse-III,118 route de Narbonne,31062,TOULOUSE CEDEX 9,1602627L,"ARTS, LETTRES, LANGUES|DROIT, ECONOMIE, GESTION|SCIENCES, TECHNOLOGIES, SANTÉ",Ethique,dossier,Formation initiale,1er semestre,,m7K6T
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1601762W,"DROIT, ECONOMIE, GESTION|SCIENCES, TECHNOLOGIES, SANTÉ",Risques et environnement,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0590349J,Centrale Lille Institut,CITÉ SCIENTIFIQUE,59651,VILLENEUVE D ASCQ CEDEX,1503306D,"SCIENCES, TECHNOLOGIES, SANTÉ","Automatique, robotique",diplôme,Formation initiale,1er semestre,,54VTe
0062205P,Université Côte d'Azur,28 avenue VALROSE,6103,NICE CEDEX 2,1800595X,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue",1er semestre,"Lettres,Droit,Economie,Psychologie,Sciences pour l'ingénieur,Administration économique et sociale,Economie et gestion",s3t8T
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON CEDEX,1703460M,"ARTS, LETTRES, LANGUES",Musicologie,diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0381912X,Institut polytechnique de Grenoble,46 avenue Félix Viallet,38001,GRENOBLE CEDEX 1,1602966E,"SCIENCES, TECHNOLOGIES, SANTÉ",Traitement du signal et des images,dossier,"Formation initiale,Formation continue",1er semestre,,2ALYK
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1701848K,"SCIENCES, TECHNOLOGIES, SANTÉ",Risques et environnement,diplôme,"Formation continue,Alternance,Hybride",1er semestre,,qUCQp
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN CEDEX,1701636E,"SCIENCES, TECHNOLOGIES, SANTÉ",Bio-informatique,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,G4572
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1502371M,SCIENCES HUMAINES ET SOCIALES,Journalisme,diplôme,,1er semestre,"Lettres,Histoire",RS4WF
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1703075U,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance,Hybride",1er semestre,,qUCQp
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,2100035P,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",dossier,"Formation initiale,Formation continue",1er semestre,,K4lR3
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800689Z,"DROIT, ECONOMIE, GESTION",Management et commerce international,diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,1604351E,SCIENCES HUMAINES ET SOCIALES,Urbanisme et aménagement,diplôme,Formation initiale,1er semestre,"Droit,Economie,Science politique,Histoire,Géographie et aménagement",6G2TU
0830766G,Université de Toulon,Avenue de l'Université,83041,TOULON CEDEX 9,1800256D,"ARTS, LETTRES, LANGUES",Lettres et humanités,diplôme,Formation initiale,1er semestre,,C701f
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86073,POITIERS Cedex 9,1302798K,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,Toutes licences,hlX1r
0912403T,Institut Polytechnique de Paris,Route de Saclay,91128,PALAISEAU CEDEX,2000153S,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,1er semestre,,kYR50
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1703288A,"SCIENCES, TECHNOLOGIES, SANTÉ","Ingénierie de l'image, ingénierie du son",diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0310152X,Institut national des sciences appliquées de Toulouse,135  AVENUE DE RANGUEIL,31077,TOULOUSE CEDEX 4,1603025U,"SCIENCES, TECHNOLOGIES, SANTÉ","Énergétique, thermique",diplôme,Formation initiale,1er semestre,Mécanique,dj88d
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1702479W,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,"Formation continue,Alternance",1er semestre,,qUCQp
0640251A,Université de Pau,AVENUE DE L UNIVERSITE,64012,PAU CEDEX,1900355M,SCIENCES HUMAINES ET SOCIALES,Sociologie,diplôme,"Formation initiale,Formation continue",1er semestre,,Mz286
0311383K,Université Toulouse-II,5 allées Antonio Machado,31058,TOULOUSE CEDEX 9,1603433M,SCIENCES HUMAINES ET SOCIALES,Economie sociale et solidaire,dossier,"Formation initiale,Formation continue",1er semestre,,HqAYu
0331766R,Université Bordeaux-III,DOMAINE UNIVERSITAIRE,33607,PESSAC CEDEX,1601282Z,"ARTS, LETTRES, LANGUES",Design,diplôme,Formation initiale,1er semestre,,Mz90U
0342321N,Université de Montpellier,163 rue AUGUSTE BROUSSONET,34000,MONTPELLIER,1501661R,"DROIT, ECONOMIE, GESTION",Droit de la santé,dossier,"Formation initiale,Formation continue",1er semestre,Droit,evv7S
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1703388J,"SCIENCES, TECHNOLOGIES, SANTÉ","Innovation, entreprise et société",diplôme,Formation initiale,1er semestre,,p25Q3
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1303187H,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,Toutes licences,06SE7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1701979C,SCIENCES DE LA MER ET DU LITTORAL,Biotechnologies,diplôme,"Formation initiale,Formation continue",3ème semestre,,06SE7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1702578D,SCIENCES DE LA MER ET DU LITTORAL,Chimie et sciences du vivant,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1703163P,SCIENCES DE LA MER ET DU LITTORAL,Gestion de l'environnement,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE CEDEX 9,1602014V,"DROIT, ECONOMIE, GESTION",Management et commerce international,diplôme,Formation initiale,1er semestre,,542Id
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE CEDEX 9,1602418J,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,"Formation initiale,Formation à distance,Alternance,Apprentissage",1er semestre,,542Id
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE CEDEX 9,1602627L,"SCIENCES, TECHNOLOGIES, SANTÉ",Éthique,diplôme,Formation initiale,1er semestre,,m7K6T
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER CEDEX 5,1501339R,SCIENCES HUMAINES ET SOCIALES,Psychologie,diplôme,"Formation initiale,Formation continue",1er semestre,,1I7hJ
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501793J,"SCIENCES, TECHNOLOGIES, SANTÉ","Innovation, entreprise et société",diplôme,"Formation initiale,Formation continue",1er semestre,"Lettres,Economie,Sciences de l'éducation,Sciences du langage,Langues étrangères appliquées,Langues, littératures et civilisations étrangères et régionales,Lettres, langues,Economie et gestion,Sciences et technologies",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1503249S,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Formation continue",1er semestre,"Economie,Gestion,Mathématiques et informatique appliquées aux sciences humaines et sociales",7yd5d
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1603015H,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique,diplôme,Formation initiale,1er semestre,Physique,7yd5d
0350097R,Institut national des sciences appliquées de Rennes,20  AVENUE DES BUTTES DE COESMES,35708,RENNES CEDEX 7,1702051F,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,Formation initiale,3ème semestre,,3GxJ8
0350097R,Institut national des sciences appliquées de Rennes,20  AVENUE DES BUTTES DE COESMES,35708,RENNES CEDEX 7,1703280S,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,Formation initiale,3ème semestre,,3GxJ8
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES CEDEX,1701496C,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,Formation initiale,1er semestre,,9wAap
0755661W,Institut mines télécom,46  RUE BARRAULT,75634,PARIS CEDEX 13,1601034E,"SCIENCES, TECHNOLOGIES, SANTÉ","Gestion de production, logistique, achats",diplôme,Formation initiale,1er semestre,,6Th4v
0755661W,Institut mines télécom,46  RUE BARRAULT,75634,PARIS CEDEX 13,1702350F,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie des procédés et des bio-procédés,diplôme,Formation initiale,1er semestre,Droit,6Th4v
0755661W,Institut mines télécom,46  RUE BARRAULT,75634,PARIS CEDEX 13,1800810F,SCIENCES ET TECHNOLOGIES,Nanosciences et nanotechnologies,diplôme,Formation initiale,3ème semestre,,6Th4v
0755976N,Université de Paris,85 boulevard Saint Michel,75006,PARIS,1504996F,"DROIT, ECONOMIE, GESTION",Analyse et politique économique,diplôme,"Formation initiale,Formation continue",1er semestre,"Economie,Economie et gestion,Sciences sociales",5cZyU
0756036D,Université Paris Sciences et Lettres,"60, rue Mazarine",75006,PARIS,1900190G,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,Formation initiale,1er semestre,,PpsCQ
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN CEDEX,1301237N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,"Formation initiale,Formation continue",1er semestre,,G4572
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN CEDEX,1701081B,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,G4572
