Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800515K,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,,1er semestre,,HCBvW
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800471N,"ARTS, LETTRES, LANGUES",Lettres,diplôme,"Formation initiale,Formation continue",1er semestre,,HCBvW
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800199S,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,"Histoire de l'art et archéologie,Histoire,Humanités",t6Cq5
0601223D,Université de technologie de Compiègne,RUE ROGER COUTTOLENC,60203,COMPIEGNE CEDEX,1203420R,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie de la santé,diplôme,"Formation initiale,Formation continue",1er semestre,,H3nOd
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1501223P,SCIENCES HUMAINES ET SOCIALES,Sociologie,diplôme,"Formation initiale,Formation continue",1er semestre,,Szqy5
0691774D,Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,69622,VILLEURBANNE CEDEX,1601243G,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie et sciences des matériaux,diplôme,Formation initiale,1er semestre,,etBz7
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1501448J,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,Szqy5
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1501510B,"SCIENCES, TECHNOLOGIES, SANTÉ","Qualité, hygiène, sécurité",diplôme,"Formation initiale,Formation continue",1er semestre,,Szqy5
0311384L,Université Toulouse-III,118 route de Narbonne,31062,TOULOUSE CEDEX 9,1602106V,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,dossier,"Formation initiale,Formation continue",1er semestre,,m7K6T
0062205P,Université Côte d'Azur,28 avenue VALROSE,6103,NICE CEDEX 2,1800554C,"DROIT, ECONOMIE, GESTION",Management,diplôme,"Formation initiale,Formation continue",1er semestre,"Droit,Economie,Administration économique et sociale,Economie et gestion",s3t8T
0311383K,Université Toulouse-II,5 allées Antonio Machado,31058,TOULOUSE CEDEX 9,1602145M,SCIENCES HUMAINES ET SOCIALES,Sociologie,dossier,"Formation initiale,Formation continue",1er semestre,,HqAYu
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,1702064V,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,dossier,"Formation initiale,Formation continue,Alternance",1er semestre,,K4lR3
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1702808D,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,,qUCQp
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402943N,"ARTS, LETTRES, LANGUES",Lettres,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,g6rwB
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800642Y,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN CEDEX,2100146J,"SCIENCES, TECHNOLOGIES, SANTÉ",Rééducation réadaptation - masso kinésithérapie,dossier,"Formation initiale,Formation continue,Formation à distance",1er semestre,,G4572
