"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Architectures en Metal : conception et Realisation
Public,0595809U,Lycee de L Escaut,Hauts de France,BTS   Production   Metiers de la chimie
Public,0595867G,Lycee INTERNATIONAL MONTEBELLO,Hauts de France,BTS   Services   Support à l action manageriale
Public,0595867G,Lycee INTERNATIONAL MONTEBELLO,Hauts de France,BTS   Services   Commerce International
Public,0596244S,I.U.T. de Valenciennes   Site de Cambrai,Hauts de France,BUT   Techniques de commercialisation
Public,0600009J,Lycee Jean Rostand,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0600009J,Lycee Jean Rostand,Hauts de France,BTS   Services   Services informatiques aux organisations
Public,0600014P,Lycee Pierre d Ailly,Hauts de France,CPGE   MPSI
Public,0600015R,Lycee Mireille Grenet,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0600015R,Lycee Mireille Grenet,Hauts de France,BTS   Services   Support à l action manageriale
Public,0600020W,Lycee Marie Curie,Hauts de France,CPGE   PTSI
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Fonderie
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Controle industriel et regulation automatique
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Electrotechnique
Public,0600021X,Lycee Jules Uhry,Hauts de France,BTS   Services   Support à l action manageriale
Public,0600021X,Lycee Jules Uhry,Hauts de France,Diplome de Comptabilite et de Gestion
Prive sous contrat d association,0601700X,Institution Sevigne,Hauts de France,BTS   Services   Gestion de la PME
Prive sous contrat d association,0601701Y,Lycee General et Technologique Jean Paul II,Hauts de France,BTS   Services   Commerce International
Public,0601782L,Lycee agricole de l Oise   Airion / Beauvais,Hauts de France,BTS   Agricole   Amenagements paysagers
Public,0601824G,Lycee Jeanne Hachette,Hauts de France,BTS   Services   Communication
Prive sous contrat d association,0601831P,Lycee St Joseph Du Moncel,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0601910A,Universite d Amiens   Antenne de Beauvais,Hauts de France,Licence   Chimie   Parcours Licence Chimie (Portail Sciences)
Public,0610006A,Lycee Mezeray Gabriel,Normandie,BTS   Services   Support à l action manageriale
Public,0610021S,Lycee Jean Guehenno,Normandie,DTS Imagerie medicale et radiologie therapeutique
Public,0611149T,IUT GRAND OUEST NORMANDIE   Pole d Alençon,Normandie,"BUT   Qualite, logistique industrielle et organisation"
Public,0611149T,IUT GRAND OUEST NORMANDIE   Pole d Alençon,Normandie,BUT   Management de la Logistique et des Transports
Public,0610006A,Lycee Mezeray Gabriel,Normandie,BTS   Production   Metiers du geometre topographe et de la modelisation numerique
Public,0620006V,Lycee Robespierre,Hauts de France,CPGE   BCPST
Public,0620011A,Lycee professionnel Jacques Le Caron,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0620040G,Lycee Louis Blaringhem,Hauts de France,BTS   Services   Support à l action manageriale
Public,0620040G,Lycee Louis Blaringhem,Hauts de France,BTS   Services   Commerce International
Public,0620042J,Lycee Andre Malraux,Hauts de France,BTS   Production   Conception de produits industriels
Public,0620052V,Lycee Edouard Branly,Hauts de France,BTS   Production   Conception de produits industriels
Public,0620056Z,Lycee Carnot,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0620056Z,Lycee Carnot,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0620062F,Lycee Pierre De Coubertin,Hauts de France,BTS   Services   Gestion des transports et logistique associee
Public,0620063G,Lycee Sophie Berthelot,Hauts de France,BTS   Services   Support à l action manageriale
Public,0620093P,Lycee Fernand Darchicourt,Hauts de France,BTS   Services   Gestion des transports et logistique associee
Public,0620093P,Lycee Fernand Darchicourt,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0620108F,Lycee Condorcet,Hauts de France,BTS   Services   Gestion de la PME
Public,0620109G,Lycee Auguste Behal,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0620109G,Lycee Auguste Behal,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Production   Controle industriel et regulation automatique
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Production   Conception et realisation en chaudronnerie industrielle
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Services   Biologie medicale
Public,0620113L,Lycee Henri Darras,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0620161N,Lycee Alexandre Ribot,Hauts de France,BTS   Services   Gestion de la PME
Public,0620256S,Lycee Guy Mollet,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0620256S,Lycee Guy Mollet,Hauts de France,BTS   Services   Services informatiques aux organisations
Prive sous contrat d association,0622110G,Lycee Saint Pierre,Hauts de France,Mise à niveau   Hotellerie restauration
Prive sous contrat d association,0622114L,Lycee Saint Paul,Hauts de France,BTS   Services   Gestion des transports et logistique associee
Prive sous contrat d association,0622196A,Lycee Baudimont Saint Charles,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client
Prive sous contrat d association,0622196A,Lycee Baudimont Saint Charles,Hauts de France,BTS   Services   Gestion de la PME
Prive sous contrat d association,0622198C,Lycee Saint Joseph,Hauts de France,BTS   Services   Communication
Public,0622238W,I.U.T. de Bethune,Hauts de France,BUT   Genie civil   Construction durable
Public,0622238W,I.U.T. de Bethune,Hauts de France,BUT   Reseaux et telecommunications
Public,0622257S,Lycee agro environnemental d Arras,Hauts de France,BTS   Agricole   Agronomie et cultures durables
Public,0622807P,Lycee des Metiers   Hotelier,Hauts de France,BTS   Services   Management en hotellerie restauration
Public,0623920Z,Universite du littoral   Site de Boulogne sur Mer,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol   LLCER"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,Licence   Lettres   Parcours Lettres modernes
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Chinois   LLCER"
Public,0624141P,Lycee Leonard de Vinci,Hauts de France,BTS   Production   Maintenance des systemes   option A Systemes de production
Public,0624141P,Lycee Leonard de Vinci,Hauts de France,BTS   Production   Assistance technique d ingenieur
Public,0630018C,Lycee Blaise Pascal,Auvergne Rhone Alpes,CPGE   PCSI
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,CPGE   ECT   Option technologique
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,BTS   Services   Professions immobilieres
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,BTS   Services   Services informatiques aux organisations
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,BTS   Services   Economie sociale familiale
Public,0630020E,Lycee Sidoine Apollinaire,Auvergne Rhone Alpes,Diplome de Comptabilite et de Gestion
Public,0630021F,Lycee La Fayette,Auvergne Rhone Alpes,BTS   Production   Maintenance des systemes   option A Systemes de production
Public,0630034V,Lycee Murat,Auvergne Rhone Alpes,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0630077S,Lycee Ambroise Brugiere,Auvergne Rhone Alpes,BTS   Services   Assurance
Public,0630095L,CPI Clermont Ferrand (Sigma Clermont),Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac General
Prive hors contrat,0630111D,Institut National des Formations Notariales   site de CLERMONT FERRAND,Auvergne Rhone Alpes,BTS   Services   Collaborateur juriste notarial
Public,0632085Z,I.U.T Clermont Auvergne   site d Aubiere,Auvergne Rhone Alpes,BUT   Informatique
Public,0632085Z,I.U.T Clermont Auvergne   site d Aubiere,Auvergne Rhone Alpes,BUT   Mesures physiques
Prive sous contrat d association,0631033F,Lycee Sevigne Saint Louis,Auvergne Rhone Alpes,BTS   Services   Conseil et commercialisation de solutions techniques
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,CPGE   MPSI
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,BTS   Production   Conception de produits industriels
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,BTS   Services   Negociation et digitalisation de la Relation Client
Prive sous contrat d association,0631068U,Lycee Godefroy De Bouillon,Auvergne Rhone Alpes,Diplome de Comptabilite et de Gestion
