"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Public,0941111X,Universite Paris  Est Creteil Val de Marne   UPEC (Paris 12),Ile de France,Licence   Portail Administration et Echanges internationaux
Public,0941111X,Universite Paris  Est Creteil Val de Marne   UPEC (Paris 12),Ile de France,Licence   Portail Sciences pour l ingenieur
Public,0783634B,CY Cergy Paris Universite   INSPe de l’academie de Versailles,Ile de France,DSP   Patrimoine bâti : metiers de la construction et du patrimoine
Public,0870669E,Universite de Limoges,Nouvelle Aquitaine,Licence   Sciences et technologies   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Histoire   Parcours Classique / Approche du monde contemporain
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,Licence   Mathematiques et informatique appliquees aux sciences humaines et sociales   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Mathematiques   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0290346U,Universite de Brest,Bretagne,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   STAPS
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Portail Chimie   Biologie Chimie
Public,0782546U,Lycee Le Corbusier,Ile de France,"DN MADE   Materiaux   Specialite : Objet, Mobilier et Marqueterie"
Public,0762047M,Universite de Rouen Normandie   Campus Sante,Normandie,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0752845K,Lycee professionnel Theophile Gautier,Ile de France,BTS   Services   Management operationnel de la securite
Prive sous contrat d association,9710067W,Lycee professionnel Blanchet,Guadeloupe,Certificat de Specialisation   Techn. en energies renouvelables opt. a energie electrique
Prive enseignement superieur,0512185Y,Institut Catholique de Paris (ICP)  Campus de Reims,Grand Est,"Licence   Sciences sociales   Parcours Economie, Science Politique, Sociologie (ESPS)"
Prive enseignement superieur,0353065S,Ecole Ferrandi Paris Campus de Rennes,Bretagne,Formations aux metiers de l hotellerie restauration Bac +3   Bachelor Arts culinaires et entrepreneuriat / Option Cuisine
Prive enseignement superieur,0353065S,Ecole Ferrandi Paris Campus de Rennes,Bretagne,Formations aux metiers de l hotellerie restauration Bac +3   Bachelor Arts culinaires et entrepreneuriat / Option Pâtisserie
Public,0212045J,Lycee E.J.Marey,Bourgogne Franche Comte,BTS   Services   Etudes de realisation d un projet de communication   1ere annee commune
Public,0624430D,GAMBETTA CARNOT,Hauts de France,CPGE   ECG
Public,0220013V,Lycee De La Fontaine Des Eaux,Bretagne,BTS   Services   Comptabilite et gestion
Public,0542208G,Lycee Stanislas (Biotec.Hotellerie),Grand Est,BTS   Services   Tourisme
Public,0220027K,Lycee Fulgence Bienvenue,Bretagne,BTS   Services   Comptabilite et gestion
Public,0932019P,ESIEE Paris,Ile de France,"Formation Bac + 3   Bachelor Informatique et technologies de l’information, Parcours Bachelor en Economie, Sciences et Technologies multimedia (BESTm)"
Public,0220056S,Lycee Francois Rabelais,Bretagne,BTS   Services   Services informatiques aux organisations
Public,0220057T,Lycee Ernest Renan,Bretagne,BTS   Services   Services et prestations des secteurs sanitaire et social
Prive sous contrat d association,0592973L,Lycee professionnel Saint François d Assise,Hauts de France,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Prive sous contrat d association,0592963A,Lycee Saint Martin,Hauts de France,BTS   Services   Podo orthesiste
Public,0682052L,Institut de formation des metiers de la reeducation Sud Alsace   formation en ergotherapie,Grand Est,D.E Ergotherapeute
Public,0682053M,Institut de formation des metiers de la reeducation Sud Alsace   formation en psychomotricite,Grand Est,D.E Psychomotricien
Prive enseignement superieur,0310154Z,Ecole d ingenieurs de PURPAN,Occitanie,Formation Bac + 3   Bachelor en sciences et en ingenierie    Filieres agricoles et agroalimentaires durables (Agro Bachelor)
Prive sous contrat d association,0071126L,Institut Superieur Saint Denis,Auvergne Rhone Alpes,BTS   Services   Services informatiques aux organisations
Prive sous contrat d association,0520939N,Maison familiale et rurale de Buxieres les Villiers,Grand Est,BTS   Agricole   Gestion et protection de la nature
Public,0620215X,Universite du littoral   Site de Calais  ,Hauts de France,DEUST   Bâtiment et travaux publics
Prive sous contrat d association,0220097L,Lycee College NOTRE DAME,Bretagne,BTS   Services   Metiers de l esthetique cosmetique parfumerie
Prive sous contrat d association,0220097L,Lycee College NOTRE DAME,Bretagne,BTS   Production   Metiers de l eau
Prive sous contrat d association,0220116G,Lycee/Pole superieur Saint BRIEUC,Bretagne,BTS   Services   Conseil et commercialisation de solutions techniques
Prive sous contrat d association,0220116G,Lycee/Pole superieur Saint BRIEUC,Bretagne,BTS   Services   Dietetique et nutrition
Public,0220196U,Lycee Henri Avril,Bretagne,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0221031B,Lycee agricole de Merdrignac,Bretagne,BTS   Agricole   Technico commercial   Specialite univers jardins et animaux de compagnie
Public,0221036G,I.U.T de Lannion,Bretagne,BUT   Informatique
Public,0221036G,I.U.T de Lannion,Bretagne,BUT   Information communication Parcours communication des organisations
Public,0310040A,Lycee Raymond Naves,Occitanie,Certificat de Specialisation   Services numeriques aux organisations
Public,0230018V,Lycee Des Metiers Du Batiment,Nouvelle Aquitaine,BTS   Production   Bâtiment
Public,0230020X,Lycee Pierre Bourdan,Nouvelle Aquitaine,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0230030H,Lycee agricole d Ahun,Nouvelle Aquitaine,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Prive sous contrat d association,0131484T,Lycee professionnel Brise Lames,Provence Alpes Cote d Azur,BTS   Services   Management en hotellerie restauration
Prive enseignement superieur,0342380C,"TRAVELLING, ecole Superieure du Cinema et de la Television",Occitanie,BTS   Services   Metiers de l audio visuel opt : metiers de l image
Public,0240005A,Lycee Maine De Biran,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel
Public,0240023V,Lycee Agricole La Peyrouse,Nouvelle Aquitaine,BTS   Agricole   Gestion et protection de la nature
Public,0240026Y,Lycee Albert Claveille,Nouvelle Aquitaine,BTS   Production   Architectures en Metal : conception et Realisation
Public,0241137F,Lycee Jay De Beaufort,Nouvelle Aquitaine,DTS Imagerie medicale et radiologie therapeutique
Public,0241279K,I.U.T de Bordeaux   Site de Perigueux,Nouvelle Aquitaine,BUT   Genie biologique parcours sciences de l aliment et biotechnologie
Public,0250007X,Lycee Victor Hugo,Bourgogne Franche Comte,CPGE   MPSI
Public,0875102Y,IFSI du CHHC Universite de Limoges,Nouvelle Aquitaine,D.E Infirmier
Public,0250010A,Lycee Louis Pergaud,Bourgogne Franche Comte,DTS Imagerie medicale et radiologie therapeutique
Public,0250011B,Lycee Jules Haag,Bourgogne Franche Comte,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0250013D,Lycee professionnel Pierre Adrien Paris,Bourgogne Franche Comte,BTS   Production   Travaux publics
Public,0130157A,Lycee professionnel Ferrages (Quartier Les),Provence Alpes Cote d Azur,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Public,0251994G,Lycee polyvalent Germaine Tillion,Bourgogne Franche Comte,BTS   Services   Metiers de l audio visuel opt : gestion de la production
Public,0342503L,IUT Montpellier Sete   site de Sete   Pole Universitaire Michele WEIL,Occitanie,BUT   Informatique
Public,0251994G,Lycee polyvalent Germaine Tillion,Bourgogne Franche Comte,Diplome de Comptabilite et de Gestion
Public,9720424D,Lycee professionnel Lumina Sophie,Martinique,Certificat de Specialisation   Services numeriques aux organisations
Public,0260113G,Lycee Les Catalins,Auvergne Rhone Alpes,BTS   Production   Metiers de la mesure
Public,0772342C,Lycee Clement Ader,Ile de France,BTS   Production   Maintenance des systemes   option A Systemes de production
Public,0930135S,Lycee professionnel Simone Weil,Ile de France,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0595856V,Lycee professionnel de L Yser,Hauts de France,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Public,0250067M,Lycee professionnel Les Huisselets,Bourgogne Franche Comte,BTS   Services   Assurance
Public,0311324W,Lycee professionnel Gisele Halimi,Occitanie,FCIL   Marchandiseur Visuel Cross Canal
Public,0572536X,"Universite de Lorraine   Faculte de Droit, Economie et Administration   Site de Metz (57)",Grand Est,Licence   Economie
Prive enseignement superieur,0132246A,ESAIP Aix en Provence,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences
Public,0333316A,Universite de Bordeaux   Bordeaux Metropole   Site Victoire,Nouvelle Aquitaine,Licence   Portail Sociologie   Sociologie /Anthropologie / Sciences de l’education
Prive enseignement superieur,0831458J,ISEN Mediterranee,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Portugais (grands debutants)"
Public,0756305W,Universite Paris Pantheon Assas,Ile de France,Double licence   Droit / Histoire   Droit et Histoire
Public,0755890V,Sorbonne universite,Ile de France,Double licence   Histoire / Information et communication   Histoire et Medias
Prive enseignement superieur,0492246A,ESAIP Angers,Pays de la Loire,Formation Bac + 3
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Histoire
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Arts du spectacle
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Lettres
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Lettres
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Lettres
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Sciences du langage
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Sciences du langage
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Sciences de l education et de la formation
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Mathematiques et informatique appliquees aux sciences humaines et sociales
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Mathematiques et informatique appliquees aux sciences humaines et sociales
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,Licence   Informatique
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Histoire de l art et archeologie
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Histoire de l art et archeologie
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Geographie et amenagement
Public,0691775E,Universite Lumiere   Lyon 2,Auvergne Rhone Alpes,Licence   Economie et gestion
Public,0691775E,Universite Lumiere   Lyon 2,Auvergne Rhone Alpes,Licence   Administration economique et sociale
Public,0691775E,Universite Lumiere   Lyon 2,Auvergne Rhone Alpes,Licence   Administration economique et sociale
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,Licence   Portail Mathematiques
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Arts   Parcours Arts numeriques
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Physique   Parcours Renforce (PR)
Public,0912409Z,Ecole Universitaire de premier cycle   Campus d Orsay Universite Paris Saclay,Ile de France,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   Tronc Commun STAPS
Public,0333298F,Universite de Bordeaux   Bordeaux Metropole,Nouvelle Aquitaine,D.E Psychomotricien
Prive sous contrat d association,0211089V,Lycee Saint Joseph,Bourgogne Franche Comte,Formation d ingenieur Bac + 5   Serie generale
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Psychologie
Public,0741586X,Universite Savoie Mont Blanc   Annecy le Vieux,Auvergne Rhone Alpes,Double licence   Droit / Langues etrangeres appliquees   Droit   LEA parcours Anglais / Italien
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Lettres
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,Licence   Musicologie
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,"Licence   Sciences de l Homme, Anthropologie, Ethnologie"
Public,0692198P,Universite Lyon 2   Campus Porte des Alpes,Auvergne Rhone Alpes,Licence   Histoire de l art et archeologie
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol"
Public,0350937D,Universite de Rennes 2,Bretagne,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Breton    debutant"
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,Licence   Arts du spectacle
Public,0691775E,Universite Lumiere   Lyon 2,Auvergne Rhone Alpes,Licence   Droit
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais"
Prive enseignement superieur,0755839P,Kedge Business School   Campus de Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor Affaires internationales
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,Licence   Portail Physique
Public,0291660X,Universite de Brest   Site de Quimper,Bretagne,Licence   Portail Histoire   Histoire Geographie   Art et Archeologie
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Double licence   Droit / Langues etrangeres appliquees   Double Licence Droit / LEA anglais coreen
Prive sous contrat d association,0261429M,OCELLIA Valence,Auvergne Rhone Alpes,D.E Educateur Specialise
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,"Licence   Portail Physique, chimie"
Public,0290346U,Universite de Brest,Bretagne,"Licence   Portail MPMEI : Mathematiques, Physique, Mathematiques Economie, Informatique"
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,"Licence   Lettres   Parcours Lettres, langues et cultures de l antiquite"
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Gestion
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Chimie
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Sciences de la terre
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Informatique
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Sciences pour la sante
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Tourisme   Hospitalite
Prive sous contrat d association,0251477V,Lycee professionnel Agricole François Xavier,Bourgogne Franche Comte,BTS   Agricole   Technico commercial   Specialite alimentation et boisson
Public,0750736T,Universite Paris Dauphine,Ile de France,Formation valant grade de licence   Double licence Intelligence Artificielle et Sciences des Organisations
Prive hors contrat,6200737G,ANTENNE I.F.R.T.S AJACCIO,Corse,D.E Assistant de Service Social
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Sciences de l education et de la formation
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Tourisme   Hospitalite
Prive sous contrat d association,0134249Y,MAISON FAMILIALE RURALE DE ROUSSET,Provence Alpes Cote d Azur,BTS   Agricole   Technico commercial   Specialite univers jardins et animaux de compagnie
Prive hors contrat,6200737G,ANTENNE I.F.R.T.S AJACCIO,Corse,D.E Educateur de Jeunes Enfants
Prive enseignement superieur,0592807F,"Faculte de Medecine, Maïeutique, Sciences de la Sante   Institut catholique de Lille",Hauts de France,Licence   Portail Sciences pour la sante
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Portail Chimie   Portail Chimie   Biologie
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Portail Chimie   Portail Chimie   Biologie
Prive sous contrat d association,0421859T,MFREO de Mornand en Forez,Auvergne Rhone Alpes,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil"
Public,0251711Z,Lycee Claude Nicolas Ledoux,Bourgogne Franche Comte,BTS   Services   Assurance
Prive enseignement superieur,0760167U,NEOMA Business School   Campus de Rouen,Normandie,Formation des ecoles de commerce et de management Bac + 3
Prive enseignement superieur,0690195M,Institut Catholique de Lyon,Auvergne Rhone Alpes,Licence   Double diplome   Licence Droit   Double diplome licence de Droit LLB (Bachelor of Laws Anglais / City University London)
Public,0251763F,IUT Nord Franche Comte   Site de Montbeliard,Bourgogne Franche Comte,BUT   Reseaux et telecommunications
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Humanites   Parcours Humanites classiques
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,C.M.I   Cursus Master en Ingenierie   Double diplome   Licence Chimie   C.M.I   Cursus Master en Ingenierie Mention Chimie
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS)
Prive enseignement superieur,0741787R,UCLy Alpes Europe,Auvergne Rhone Alpes,"Licence   Double diplome   Licence Droit   Double diplome   Double diplome Licence de Droit + Diplome Universitaire ""Droit international et transfrontalier franco suisse"""
Public,0801344B,Universite d Amiens,Hauts de France,Licence   Mathematiques   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0730858L,Universite Savoie Mont Blanc   Chambery,Auvergne Rhone Alpes,Licence   Lettres   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Sciences et technologies   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0782075G,Unite de Formation et de Recherche de Sciences de l  Universite de Versailles Saint Quentin en Yvelines,Ile de France,Licence   Sciences et technologies   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0031032F,Antenne de Moulins de l Institut national superieur du professorat et de l education Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Sciences de l education et de la formation   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0691774D,Universite Claude Bernard Lyon 1,Auvergne Rhone Alpes,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   Licence STAPS   portail unique
Public,0750675B,Lycee Voltaire,Ile de France,CPGE   B/L   Lettres et sciences sociales
Public,0932059H,Sup Galilee Paris,Ile de France,Formation d ingenieur Bac + 5   Bac general
Prive sous contrat d association,0622107D,Lycee NAZARETH HAFFREINGUE,Hauts de France,CPGE   ECG
Public,0490970N,Universite Angers,Pays de la Loire,"Double licence   Langues, litteratures et civilisations etrangeres et regionales / Langues, litteratures et civilisations etrangeres et regionales   Double licence Espagnol   Anglais"
Public,7200118R,Lycee professionnel maritime et aquacole de Bastia,Corse,BTS   Maritime   Pêche et gestion de l environnement marin
Prive enseignement superieur,0333479C,EFREI Bordeaux,Nouvelle Aquitaine,Formation des ecoles de commerce et de management Bac + 3   Bachelor Marketing Digital et communication
Prive enseignement superieur,0333479C,EFREI Bordeaux,Nouvelle Aquitaine,Formation Bac + 3   Bachelor Developpeur web et application
Prive enseignement superieur,0941934S,EFREI Paris,Ile de France,BTS   Services   Communication
Public,0691774D,Universite Claude Bernard Lyon 1,Auvergne Rhone Alpes,Double licence   Mathematiques / Economie  
Public,0260023J,Lycee Du Dauphine,Auvergne Rhone Alpes,BTS   Services   Conseil et commercialisation de solutions techniques
Public,9710585J,Universite des Antilles   Pole Guadeloupe,Guadeloupe,Licence   Portail Informatique   Informatique  / Methodes Informatiques appliquees à la  gestion des entreprises   Guadeloupe
Public,0400002K,Lycee Gaston Crampe,Nouvelle Aquitaine,Certificat de Specialisation   Technicien(ne) en reseaux electriques
Prive enseignement superieur,0512185Y,Institut Catholique de Paris (ICP)  Campus de Reims,Grand Est,Licence   Droit
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Mathematiques et informatique appliquees aux sciences humaines et sociales   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0121471J,Institut national universitaire Champollion   Campus de Rodez,Occitanie,Licence   Sciences et Techniques des Activites Physiques et Sportives
Public,0650028C,Lycee professionnel Sixte Vignon,Occitanie,FCIL   Controleur technique automobile
Prive enseignement superieur,0061715G,IPAG Business School   Campus de Nice,Provence Alpes Cote d Azur,BTS   Services   Management Commercial Operationnel
Public,0922252Y,CY Cergy Paris Universite   INSPe de l’academie de Versailles,Ile de France,Licence   Sciences de l education et de la formation   Parcours Sciences et Mediation Scientifique
Prive sous contrat d association,0260074P,Lycee Montplaisir,Auvergne Rhone Alpes,BTS   Services   Comptabilite et gestion
Public,0561739L,Universite de Bretagne Sud   Site de Vannes,Bretagne,C.M.I   Cursus Master en Ingenierie   Mathematiques   Parcours Science des donnees
Prive sous contrat d association,0260074P,Lycee Montplaisir,Auvergne Rhone Alpes,DTS Imagerie medicale et radiologie therapeutique
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,"Licence   Portail Sciences des systemes communicants   Sciences numeriques, informatique embarque et objets communicants"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Diplome d Universite   Bachelor Business Data Science
Public,0040490L,Lycee PIERRE GILLES DE GENNES,Provence Alpes Cote d Azur,"BTS   Production   Fluide, energie, domotique   option A genie climatique et fluidique"
Public,0560016N,Lycee Broceliande,Bretagne,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0380032D,Lycee polyvalent Emmanuel Mounier,Auvergne Rhone Alpes,CPGE   B/L   Lettres et sciences sociales
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,Licence professionnelle   Bio industries et biotechnologies   Parcours Techniques d’analyses chimiques et biologiques
Public,0130151U,Lycee professionnel Charles Mongrand,Provence Alpes Cote d Azur,BTS   Services   Services et prestations des secteurs sanitaire et social
Public,9740478B,Universite de La Reunion   Saint Denis,Reunion,Cycle pluridisciplinaire d etudes Superieures   Economie   Sciences pour l Ingenieur
Public,0260998U,I.U.T de Valence,Auvergne Rhone Alpes,BUT   Informatique
Public,0141408E,Universite de Caen Normandie,Normandie,Cycle pluridisciplinaire d etudes Superieures   Sciences et societe
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Cycle pluridisciplinaire d etudes Superieures   Sciences et humanites   Parcours: Humanites
Prive hors contrat,0442533P,INSTITUT SUPERIEUR D OPTIQUE (ISO),Pays de la Loire,BTS   Services   Opticien Lunetier
Public,0260998U,I.U.T de Valence,Auvergne Rhone Alpes,BUT   Gestion des entreprises et des administrations
Prive sous contrat d association,0312355S,Lycee Ort Maurice Grynfogel,Occitanie,BTS   Services   Commerce International
Public,0341150R,Unite de formation et de recherche de medecine Universite de Montpellier,Occitanie,D.E Psychomotricien
Public,0260998U,I.U.T de Valence,Auvergne Rhone Alpes,BUT   Techniques de commercialisation
Public,0831354W,Lycee professionnel La Coudouliere,Provence Alpes Cote d Azur,BTS   Maritime   Mecatronique Navale   Parcours Marine Nationale / Maistrance   Defense
Prive enseignement superieur,0221844K,Facultes libres de l ouest   UCO   Bretagne Nord,Bretagne,Licence   Sciences et technologies
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais"
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Lettres   Parcours Lettres modernes
Prive sous contrat d association,0261357J,MFREO de Bourg de Peage,Auvergne Rhone Alpes,BTS   Agricole   Gestion et protection de la nature
Public,0270016W,Lycee Aristide Briand,Normandie,CPGE   PCSI
Public,0270016W,Lycee Aristide Briand,Normandie,BTS   Services   Collaborateur juriste notarial
Public,0270044B,Lycee Georges Dumezil,Normandie,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0755900F,GOBELINS PARIS GAMBETTA,Ile de France,DN MADE   Graphisme   Specialite : Designer UI/UX   Interface et narration interactives
Public,0271107G,Lycee agricole d Evreux,Normandie,BTS   Agricole   Amenagements paysagers
Prive sous contrat d association,0350791V,Lycee Marcel Callo,Bretagne,FCIL   Fabrication et traitement de structures metalliques industrielles
Public,0271431J,Lycee Jacques Prevert,Normandie,BTS   Services   Management Commercial Operationnel
Public,0271585B,Lycee Jean Moulin,Normandie,BTS   Production   Electrotechnique
Public,0271666P,I.U.T d Evreux,Normandie,BUT   Genie biologique parcours sciences de l aliment et biotechnologie
Public,0280019U,Lycee Rotrou,Centre,BTS   Production   Bioqualite
Prive sous contrat d association,0021906L,Lycee professionnel Saint Charles,Hauts de France,FCIL   Preparation aux concours des metiers de la securite
Public,0280044W,Lycee Jehan De Beauce,Centre,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0290008B,Lycee Amiral Ronarc h,Bretagne,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0290012F,Lycee Vauban,Bretagne,BTS   Production   Conception et realisation en chaudronnerie industrielle
Prive sous contrat d association,0754239A,Lycee professionnel Saint Jean De Montmartre,Ile de France,Certificat de Specialisation   Services numeriques aux organisations
Public,0290013G,Lycee Jules Lesven,Bretagne,BTS   Services   Comptabilite et gestion
Public,0290022S,Lycee Paul Serusier,Bretagne,BTS   Services   Gestion de la PME
Public,0290044R,Lycee De L Elorn,Bretagne,BTS   Production   Developpement et Realisation Bois
Public,0290069T,Lycee Auguste Brizeux,Bretagne,CPGE   PCSI
Public,0342490X,Universite de Montpellier,Occitanie,Cycle pluridisciplinaire d etudes Superieures   Economie   Parcours : modelisation et numerique
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,"Cycle pluridisciplinaire d etudes Superieures   Sciences pour l ingenieur   Parcours: Ingenierie, Environnement et Societe"
Public,0290071V,Lycee Yves Thepot,Bretagne,BTS   Production   Maintenance des systemes   option A Systemes de production
Prive sous contrat d association,0290159R,Lycee St Sebastien,Bretagne,BTS   Services   Assurance
Prive sous contrat d association,0290170C,Lycee Le Likes,Bretagne,BTS   Services   Commerce International
Prive sous contrat d association,0290170C,Lycee Le Likes,Bretagne,BTS   Services   Comptabilite et gestion
Prive sous contrat d association,0290177K,Lycee N D DU KREISKER,Bretagne,BTS   Services   Commerce International
Prive sous contrat d association,0290181P,Lycee Sup Javouhey BREST,Bretagne,BTS   Services   Gestion de la PME
Prive sous contrat d association,0290184T,Lycee Saint Joseph,Bretagne,BTS   Production   Conception et Realisation de Systemes Automatiques
Public,0875109F,IFSI CHU Limoges   Antenne de Saint Yrieix la Perche,Nouvelle Aquitaine,D.E Infirmier
