"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Prive sous contrat d association,0592921E,Lycee Saint Remi,Hauts de France,BTS   Services   Services informatiques aux organisations,"50.6943, 3.18214"
Prive sous contrat d association,0592928M,Lycee Jeanne D Arc,Hauts de France,BTS   Services   Dietetique et nutrition,"50.1999, 3.8304"
Prive sous contrat d association,0592967E,Lycee La Sagesse,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.3599, 3.52889"
Prive sous contrat d association,0592967E,Lycee La Sagesse,Hauts de France,BTS   Services   Economie sociale familiale,"50.3599, 3.52889"
Prive sous contrat d association,0593006X,Lycee Notre Dame D Annay,Hauts de France,BTS   Services   Support à l action manageriale,"50.6423, 3.06007"
Prive sous contrat d association,0593007Y,Lycee Frederic OZANAM,Hauts de France,BTS   Production   Maintenance des systemes   option A Systemes de production,"50.6396, 3.08675"
Prive sous contrat d association,0593027V,Lycee professionnel prive Numerique des Metiers EPIL (Campus Sup  Groupe OEC),Hauts de France,BTS   Production   Systemes constructifs bois et habitat,"50.6221, 3.05722"
Prive sous contrat d association,0593034C,Lycee THEOPHILE LEGRAND,Hauts de France,BTS   Production   Electrotechnique,"50.27179, 3.96332"
Prive sous contrat d association,0593034C,Lycee THEOPHILE LEGRAND,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.27179, 3.96332"
Public,0593052X,I.U.T. de Valenciennes,Hauts de France,BUT   Genie electrique et informatique industrielle,"50.3275, 3.51437"
Prive sous contrat d association,0593071T,Lycee Deforest De Lewarde,Hauts de France,BTS   Services   Comptabilite et gestion,"50.3715, 3.08187"
Public,0593255T,"Lycee de la Nature et des Biotechnologies, Douai Bio Tech ",Hauts de France,"BTS   Agricole   Analyses biologiques, biotechnologiques, agricoles et environnementales","50.3901, 3.06595"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,"Licence   Genie civil   Parcours Genie Civil, Architectural et Urbain","50.3228, 3.5143"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Portail Droit,"50.3645, 3.52949"
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langues scandinaves","50.62895, 3.12616"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Philosophie   Parcours Philosophie   Sociologie,"50.6279, 3.12467"
Prive sous contrat d association,0594278E,lycee E.P.I.D.,Hauts de France,BTS   Production   Controle industriel et regulation automatique,"51.027, 2.37163"
Public,0594365Z,IUT LITTORAL (DUNKERQUE),Hauts de France,BUT   Techniques de commercialisation,"51.0378, 2.3709"
Public,0594424N,Lycee Raymond Queneau,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.6252, 3.13072"
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Batiment,"50.6507, 2.99656"
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Management economique de la construction,"50.6507, 2.99656"
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Architectures en Metal : conception et Realisation,"50.6507, 2.99656"
Public,0595809U,Lycee de L Escaut,Hauts de France,BTS   Production   Metiers de la chimie,"50.3661, 3.51313"
Public,0595867G,Lycee INTERNATIONAL MONTEBELLO,Hauts de France,BTS   Services   Support à l action manageriale,"50.6196, 3.04807"
Public,0595867G,Lycee INTERNATIONAL MONTEBELLO,Hauts de France,BTS   Services   Commerce International,"50.6196, 3.04807"
Public,0596244S,I.U.T. de Valenciennes   Site de Cambrai,Hauts de France,BUT   Techniques de commercialisation,"50.1905, 3.24332"
Public,0600009J,Lycee Jean Rostand,Hauts de France,BTS   Services   Comptabilite et gestion,"49.18274, 2.46149"
Public,0600009J,Lycee Jean Rostand,Hauts de France,BTS   Services   Services informatiques aux organisations,"49.18274, 2.46149"
Public,0600014P,Lycee Pierre d Ailly,Hauts de France,CPGE   MPSI,"49.4062, 2.83447"
