"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Prive enseignement superieur,0753533H,Ecole Speciale d Architecture,Ile de France,Architecture   Diplome de l’ESA,"48.83754, 2.33072"
Public,0801344B,Universite d Amiens,Hauts de France,Licence   Portail Philosophie   Sciences Sociales,"49.90426, 2.29961"
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Portail Sciences biomedicales,"48.8554, 2.3314"
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Portail Informatique,"49.213, -0.36849"
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Economie et gestion    Acces Sante,"46.5712, 0.38006"
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Espagnol    Acces Sante","46.57, 0.38174"
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Lettres    Acces Sante,"46.57, 0.38173"
Public,0290346U,Universite de Brest,Bretagne,"Licence   Portail Administration economique et sociale   Administration et gestion des entreprises, Administration et gestion des territoires","48.3995, -4.50561"
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Portail Chimie,"49.213, -0.36849"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Portail Psychologie,"47.4629, -0.54627"
Public,9760358K,Universite de Mayotte,Mayotte,Licence   Portail Sciences de la vie et de la terre   Sciences de la vie,"-12.8582, 45.1958"
Public,0751719L,Universite Sorbonne Nouvelle Paris 3,Ile de France,Licence   Information et communication   Parcours Information et communication mineure Allemand,"48.8452, 2.39666"
Prive enseignement superieur,0592806E,"Institut Catholique de Lille Faculte de Gestion, Economie et Sciences",Hauts de France,Licence   Portail Sciences de la vie   biologie,"50.6337, 3.04509"
Public,0912418J,"Universite Paris Saclay, Campus d Orsay",Ile de France,"Licence   Double diplome   Licence Mathematiques, Physique et Sciences pour l Ingenieur   Licence Double Diplome Mathematiques, Physique","48.7015, 2.17978"
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,Licence   Double diplome   Licence Langues etrangeres appliquees   DPI  LEA Anglais   Allemand ou Espagnol   Double Diplome Franco allemand ou espagnol,"43.51478, 5.44706"
Public,0141408E,Universite de Caen Normandie,Normandie,Licence   Langues etrangeres appliquees   Parcours Anglais/Espagnol,"49.1889, -0.36388"
Public,0912417H,"Universite Paris Saclay, Campus d’Evry",Ile de France,"Licence   Double diplome   Licence Droit, Informatique   Parcours Licence Double Diplome Droit, Informatique","48.62474, 2.42771"
Public,0912418J,"Universite Paris Saclay, Campus d Orsay",Ile de France,"Licence   Portail Droit, Sciences et Innovation   Licence Double Diplome Droit, Sciences et Innovation","48.7015, 2.17978"
Prive sous contrat d association,0241092G,MAISON FAMILIALE RURALE,Nouvelle Aquitaine,BTS   Agricole   Developpement et animation de projets territoriaux,"45.1913, 0.71807"
Public,0141408E,Universite de Caen Normandie,Normandie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Russe","49.1889, -0.36388"
Prive sous contrat d association,0141418R,Lycee Les Rosiers,Normandie,BTS   Services   Professions immobilieres,"49.14708, 0.22339"
Public,0782076H,Universite de Versailles   Saint Quentin en Yvelines,Ile de France,Licence   Portail Science politique,"48.7858, 2.05107"
Public,0141555P,Lycee Marie Curie,Normandie,BTS   Services   Services et prestations des secteurs sanitaire et social,"48.8378, -0.88848"
Public,0782076H,Universite de Versailles   Saint Quentin en Yvelines,Ile de France,Licence   Portail Droit,"48.7858, 2.05107"
Public,0931391G,Universite Sorbonne Paris Nord   Antenne de Bobigny,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS),"48.916, 2.42229"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives,"50.6118, 3.0836"
Public,0912418J,"Universite Paris Saclay, Campus d Orsay",Ile de France,"Licence   Double diplome   Licence Chimie, Sciences de la vie   Licence Double Diplome Chimie, Sciences de la Vie","48.7015, 2.17978"
Prive sous contrat d association,0490788R,ARIFTS Association Regionale pour l Institut de Formation en Travail Social,Pays de la Loire,D.E Educateur Specialise,"47.46667, -0.55"
Prive sous contrat d association,0753602H,ETSUP,Ile de France,D.E Educateur Technique Specialise,
Public,0623911P,Universite d Artois   Site de Lens,Hauts de France,Licence   Portail Chimie,"50.434, 2.82362"
Prive enseignement superieur,0597271H,USCHOOL   Ecole pluridisciplinaire de l Institut Catholique de LILLE,Hauts de France,Licence   Pluridisciplinaire   Parcours Projet personnel,"50.6322, 3.04492"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS),"50.604, 3.03077"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS),"50.6044, 3.03092"
Prive sous contrat d association,0142084P,Lycee Notre Dame De Fidelite,Normandie,BTS   Services   Economie sociale familiale,"49.2109, -0.37346"
Prive sous contrat d association,0142108R,Lycee Notre Dame De Nazareth,Normandie,BTS   Services   Management en hotellerie restauration,"49.2958, -0.37158"
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences pour la sante   Droit et Sante    Acces Sante,"48.5769, 7.73882"
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences pour la sante   Mathematiques et Sante    Acces Sante,"48.5769, 7.73886"
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences pour la sante   Psychologie et Sante    Acces Sante,"48.579, 7.7663"
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences pour la sante   Economie et Gestion et Sante    Acces Sante,"48.5829, 7.77387"
Public,0142133T,Lycee Dumont d Urville Laplace,Normandie,BTS   Production   Conception de produits industriels,"49.1962, -0.36005"
Public,0142132S,Lycee Francois Rabelais,Normandie,BTS   Services   Management en hotellerie restauration,"49.1498, -0.35811"
Prive enseignement superieur,0062197F,Ecole d ingenieurs privee ECAM EPMI,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   Serie generale,"43.6573, 6.92311"
Prive enseignement superieur,0062197F,Ecole d ingenieurs privee ECAM EPMI,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   Serie STI2D,"43.6573, 6.9311"
Prive enseignement superieur,0951819L,ECAM EPMI,Ile de France,Formation d ingenieur Bac + 5   Autres Series,"49.0312, 2.07416"
Public,0142133T,Lycee Dumont d Urville Laplace,Normandie,BTS   Production   Developpement et Realisation Bois,"49.1962, -0.36005"
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Portail Psychologie   Sciences Psychologiques,"48.8346, 2.24801"
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Portail Chimie,"48.8285, 2.38198"
Public,0142218K,IUT GRAND OUEST NORMANDIE   Pole de Caen   Site d Ifs,Normandie,BUT   Reseaux et telecommunications,"49.149, -0.35304"
Public,0061561P,Lycee professionnel Alfred Hutinel,Provence Alpes Cote d Azur,BTS   Services   Management operationnel de la securite,"43.55324, 6.96948"
Prive sous contrat d association,0451335G,Lycee Sainte Croix Saint Euverte,Centre,BTS   Services   Commerce International,"47.9022, 1.91864"
Prive sous contrat d association,9710991A,Lycee Les Perseverants,Guadeloupe,BTS   Services   Economie sociale familiale,"15.9927, -61.7241"
Prive sous contrat d association,0150047V,Lycee de la Communication Saint Geraud,Auvergne Rhone Alpes,BTS   Services   Communication,"44.9316, 2.44642"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Parcours Europe   Albanais","48.8274, 2.37623"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Parcours Eurasie   Turc","48.8274, 2.37623"
Public,0731570K,Universite Savoie Mont Blanc   Bourget du Lac,Auvergne Rhone Alpes,Licence   Portail Mathematiques   (tronc commun MISPI : Mathematiques Informatique Sciences pour l ingenieur),"45.6415, 5.87052"
Public,0150746E,I.U.T Clermont Auvergne   site d Aurillac,Auvergne Rhone Alpes,BUT   Genie biologique Parcours agronomie,"44.9332, 2.4424"
Public,0811293R,Institut national universitaire Champollion,Occitanie,Licence   Portail Droit,"43.92, 2.139"
Public,0700905D,Lycee Edouard Belin,Bourgogne Franche Comte,BTS   Production   Conception et Realisation de Systemes Automatiques   Parcours Ingenieur Microtechniques et Systemes Intelligents,"47.6326, 6.16347"
Public,0781948U,Lycee LAVOISIER,Ile de France,Certificat de Specialisation   Techn. en energies renouvelables opt. b energie thermique,"48.9754, 1.76731"
Public,0160003S,Lycee Marguerite De Valois,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel,"45.6535, 0.17808"
Public,0160004T,Lycee Charles A. COULOMB,Nouvelle Aquitaine,BTS   Production   Maintenance des systemes   option A Systemes de production,"45.6304, 0.15709"
Public,0700905D,Lycee Edouard Belin,Bourgogne Franche Comte,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)   Parcours Ingenieur Microtechniques et Systemes Intelligents,"47.6326, 6.16347"
Prive sous contrat d association,0660552S,Lycee NEOSUP Ecole Maso,Occitanie,Annee preparatoire   Classe de mise à niveau pour l entree en BTS et les poursuites d etudes scientifiques,"42.6643, 2.90932"
Public,0160006V,Lycee d Enseignement General et Technologique Agricole Angouleme  L Oisellerie,Nouvelle Aquitaine,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","45.625, 0.10393"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.5608, 1.46936"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.5608, 1.46936"
Prive sous contrat d association,0542161F,Lycee Pierre De Coubertin,Grand Est,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif,"48.6825, 6.18005"
Prive sous contrat d association,0021906L,Lycee professionnel Saint Charles,Hauts de France,BTS   Services   Management operationnel de la securite,"49.6147, 3.21201"
Public,0020052W,Lycee professionnel Colard Noel,Hauts de France,BTS   Production   Etude et realisation d agencement,"49.86303, 3.30881"
Prive sous contrat d association,0690660T,Lycee professionnel Japy,Auvergne Rhone Alpes,FCIL   Secretaire juridique,"45.768, 4.83749"
Prive enseignement superieur,0694413X,SupBiotech Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac Serie generale,"45.77099, 4.80635"
Public,0320002D,Lycee Pardailhan,Occitanie,BTS   Services   Services informatiques aux organisations,"43.6547, 0.57491"
Public,0810959C,Lycee La Borde Basse,Occitanie,BTS   Services   Metiers de l esthetique cosmetique parfumerie,"43.6255, 2.25965"
Prive sous contrat d association,0311213A,Lycee Issec Pigier,Occitanie,BTS   Services   Comptabilite et gestion,"43.6436, 1.45312"
Prive sous contrat d association,0810100U,Lycee professionnel Saint Dominique,Occitanie,BTS   Services   Gestion des transports et logistique associee,"43.9298, 2.1477"
Public,0161095D,Lycee Image et Son,Nouvelle Aquitaine,BTS   Services   Metiers de l audio visuel opt : montage et post production,"45.6333, 0.15292"
Public,7200664J,Universite de Corte,Corse,"Licence   Portail Sciences de la vie   Biochimie, Biologie moleculaire ou Biologie des Organismes, Ecologie ou Chimie de l environnement","42.2987, 9.15298"
Public,0161125L,I.U.T. Angoulême,Nouvelle Aquitaine,BUT   Genie electrique et informatique industrielle,"45.6476, 0.13658"
Prive sous contrat d association,0682079R,Institution Saint Jean  Lycee d enseignement general et technologique prive,Grand Est,BTS   Services   Opticien Lunetier,"48.0723, 7.36101"
Prive sous contrat d association,0622196A,Lycee Baudimont Saint Charles,Hauts de France,BTS   Services   Tourisme,"50.2945, 2.76632"
Prive hors contrat,0342129E,ACFA multimedia,Occitanie,BTS   Services   Metiers de l audio visuel opt : montage et post production,"43.63613, 3.83024"
Prive hors contrat,0342129E,ACFA multimedia,Occitanie,BTS   Services   Metiers de l audio visuel opt : metiers de l image,"43.63608, 3.83022"
Public,0170028N,Lycee Jean Dautet,Nouvelle Aquitaine,CPGE   PCSI,"46.1648, -1.15397"
Public,0940137N,LP Lycee des metiers La Source,Ile de France,"DN MADE   Materiaux   Specialite   Objets, decors et mobiliers","48.83, 2.46544"
Public,0410031L,Lycee professionnel des Metiers Andre Ampere,Centre,BTS   Services   Management operationnel de la securite,"47.8011, 1.07883"
Public,0170145R,I.U.T. La Rochelle,Nouvelle Aquitaine,BUT   Reseaux et telecommunications,"46.142, -1.1511"
Public,0170145R,I.U.T. La Rochelle,Nouvelle Aquitaine,BUT   Genie biologique parcours sciences de l aliment et biotechnologie,"46.1413, -1.15141"
Public,0383119J,Lycee Pierre Beghin,Auvergne Rhone Alpes,BTS   Services   Gestion de la PME,"45.3213, 5.58667"
Public,0170145R,I.U.T. La Rochelle,Nouvelle Aquitaine,BUT   Genie biologique parcours biologie medicale et biotechnologie,"46.1413, -1.15145"
Public,0134315V,UFR des Sciences Medicales et Paramedicales site Nord Universite Aix Marseille,Provence Alpes Cote d Azur,D.E Pedicure Podologue,"43.3767, 5.36171"
Public,0951281B,Lycee professionnel Turgot,Ile de France,BTS   Services   Gestion de la PME,"48.9852, 2.32117"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Langues etrangeres appliquees   Parcours Langues Etrangeres Appliquees (LEA) : anglais   chinois,"46.1476, -1.15511"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Langues etrangeres appliquees   Parcours Langues Etrangeres Appliquees (LEA) : anglais   indonesien,"46.1476, -1.15511"
Prive enseignement superieur,0801911T,Ingenieur UniLaSalle Amiens (ex ESIEE Amiens),Hauts de France,Formation d ingenieur Bac + 5   Serie generale,"49.89974, 2.29164"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Bi disciplinaire : Histoire   Allemand","43.5784, 1.40266"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Licence   Informatique,"46.1476, -1.15511"
Prive enseignement superieur,0333415H,ELISA Aerospace Bordeaux,Nouvelle Aquitaine,Formation Bac + 3,"44.8097, -0.78259"
Public,0840685N,Avignon Universite,Provence Alpes Cote d Azur,Licence   Portail Informatique,"43.9095, 4.88909"
Public,0721575W,ESGT Le Mans,Pays de la Loire,Formation d ingenieur Bac + 5   bac STI2D,"48.0189, 0.15473"
Prive sous contrat d association,0301631K,IFME (institut de formations aux metiers educatifs) de Nimes,Occitanie,D.E Educateur de Jeunes Enfants,"43.8118, 4.37534"
Public,0180005H,Lycee Alain Fournier,Centre,CPGE   MPSI,"47.1007, 2.41248"
Public,0931827F,Universite Paris 8,Ile de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Mondes anglophones","48.9458, 2.36341"
Public,0180007K,Lycee Jacques Coeur,Centre,BTS   Services   Support à l action manageriale,"47.0719, 2.40989"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.5608, 1.46936"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.5608, 1.46936"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.5608, 1.46936"
Prive enseignement superieur,0442837V,ISEN Ouest Nantes,Pays de la Loire,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"47.2749, -1.50702"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Sciences de l education et de la formation   Parcours Sciences de l Education mineure decouverte en Arts et Lettres,"43.5784, 1.40266"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Portail Mathematiques   Maths Physique Sciences pour l Ingenieur,"45.7607, 3.11356"
Public,0490970N,Universite Angers,Pays de la Loire,"Annee preparatoire    Mise à niveau scientifique   MAN SVTC (Sciences de la Vie et de la Terre Chimie) (Biologie, Geologie, Physique, Chimie, Maths)","47.4804, -0.60013"
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   Sciences et Techniques des Activites Physiques et Sportives (STAPS)   Valence,"44.9142, 4.9187"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Portail Economie et gestion   Economie et Gestion   Grenoble,"45.1893, 5.77276"
Public,0333298F,Universite de Bordeaux   Bordeaux Metropole,Nouvelle Aquitaine,Licence   Portail Sciences et technologies,"44.8081, -0.59556"
Public,0333298F,Universite de Bordeaux   Bordeaux Metropole,Nouvelle Aquitaine,Licence   Portail Sciences et technologies,"44.8081, -0.59556"
Public,0870669E,Universite de Limoges,Nouvelle Aquitaine,Licence   Portail Mathematiques   Parcours Sciences Exactes et Appliquees,"45.8371, 1.23836"
Public,0870669E,Universite de Limoges,Nouvelle Aquitaine,Licence   Portail Physique   Parcours Sciences Exactes et Appliquees,"45.8369, 1.23862"
Prive sous contrat d association,9741255W,Lycee Catholique St Charles,Reunion,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"-21.3382, 55.4797"
Public,0180036S,Lycee Henri Brisson,Centre,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"47.2286, 2.06146"
Prive sous contrat d association,0180561M,Lycee Sainte Marie Saint Dominique,Centre,BTS   Services   Collaborateur juriste notarial,"47.0771, 2.40321"
Prive sous contrat d association,0180561M,Lycee Sainte Marie Saint Dominique,Centre,BTS   Services   Gestion de la PME,"47.0771, 2.40321"
Prive sous contrat d association,0180561M,Lycee Sainte Marie Saint Dominique,Centre,BTS   Services   Comptabilite et gestion,"47.0771, 2.40321"
Prive enseignement superieur,0212022J,CENTRE UNIVERSITAIRE CATHOLIQUE DE BOURGOGNE (CUCDB),Bourgogne Franche Comte,Licence   Sciences de l education et de la formation   Parcours Professorat des ecoles,"47.33489, 5.05389"
Public,0180584M,I.U.T de Bourges,Centre,BUT   Mesures physiques,"47.098, 2.41745"
Prive enseignement superieur,0783720V,ESEO Paris   Velizy,Ile de France,Formation d ingenieur Bac + 5   Bacs technologiques,"48.7836, 2.21294"
Prive sous contrat d association,9741255W,Lycee Catholique St Charles,Reunion,Formation d ingenieur Bac + 5   Bacs technologiques,"-21.3382, 55.4797"
Public,0811293R,Institut national universitaire Champollion,Occitanie,Licence   Portail Mathematiques,"43.92, 2.139"
Public,0180585N,Campus du Haut Berry   Bourges   Le Subdray   Lycee,Centre,BTS   Agricole   Developpement et animation de projets territoriaux,"47.0222, 2.29803"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Informatique   Parcours Licence   Portail Informatique,"43.6318, 3.865"
Public,0250010A,Lycee Louis Pergaud,Bourgogne Franche Comte,CPGE   ECG      Mathematiques approfondies + HGG,"47.265, 6.04372"
Public,0640010N,Lycee Rene Cassin Bayonne Biarritz,Nouvelle Aquitaine,CPGE   ECG      Mathematiques appliquees + ESH,"43.481, -1.48208"
Public,0770933W,Lycee Jacques Amyot,Ile de France,CPGE   ECG      Mathematiques approfondies + HGG,"48.5455, 2.6599"
Public,0770926N,Lycee Francois Couperin,Ile de France,CPGE   ECG      Mathematiques appliquees + ESH,"48.3995, 2.68594"
Public,0930123D,Lycee Olympe De Gouges,Ile de France,CPGE   ECG      Mathematiques appliquees + ESH,"48.8887, 2.47001"
Public,0740003B,Lycee Berthollet,Auvergne Rhone Alpes,CPGE   ECG,"45.9063, 6.12758"
Public,0260035X,Lycee CAMILLE VERNET,Auvergne Rhone Alpes,CPGE   ECG,"44.922, 4.90358"
Public,0190010H,Lycee Georges Cabanis,Nouvelle Aquitaine,CPGE   TSI,"45.1595, 1.52387"
Public,0690026D,Lycee du Parc,Auvergne Rhone Alpes,CPGE   ECG,"45.7717, 4.85677"
Public,0010014K,Lycee Edgar Quinet,Auvergne Rhone Alpes,CPGE   ECG,"46.1972, 5.22569"
Prive sous contrat d association,0690564N,Institution des Chartreux,Auvergne Rhone Alpes,CPGE   ECG,"45.7718, 4.82254"
Prive sous contrat d association,0660059F,Lycee Notre Dame De Bon Secours,Occitanie,CPGE   ECG      Mathematiques appliquees + ESH,"42.6917, 2.88353"
Public,0540038Y,Lycee Henri Poincare,Grand Est,CPGE   ECG,"48.6915, 6.17955"
Public,0572757M,Lycee Georges De La Tour,Grand Est,CPGE   ECG      Mathematiques appliquees + ESH,"49.109, 6.16706"
Public,0490002L,Lycee general et technologique Joachim Du Bellay,Pays de la Loire,CPGE   ECG      Mathematiques appliquees + ESH,"47.4758, -0.54683"
Prive sous contrat d association,0442699V,Lycee general prive Externat Chavagnes,Pays de la Loire,CPGE   ECG      Mathematiques appliquees + HGG,"47.218, -1.57311"
Prive sous contrat d association,0761710W,Lycee Saint Joseph,Normandie,CPGE   ECG      Mathematiques appliquees + ESH,"49.5013, 0.1051"
Public,0370035M,Lycee Descartes,Centre,CPGE   ECG      Mathematiques approfondies + HGG,"47.3915, 0.68959"
Public,0450049J,Lycee Pothier,Centre,CPGE   ECG      Mathematiques approfondies + HGG,"47.9079, 1.90916"
Public,0750698B,Lycee Claude Bernard,Ile de France,CPGE   ECG      Mathematiques appliquees + HGG,"48.8424, 2.25496"
Public,0750704H,Lycee Carnot,Ile de France,CPGE   ECG,"48.8839, 2.30755"
Prive sous contrat d association,0350776D,Lycee St Vincent Providence,Bretagne,CPGE   ECG,"48.1137, -1.6647"
Public,0670080Y,Lycee Kleber,Grand Est,CPGE   ECG,"48.5942, 7.75706"
Public,0190012K,Lycee Simone Veil,Nouvelle Aquitaine,BTS   Services   Gestion des transports et logistique associee,"45.16, 1.51842"
Public,0782562L,Lycee Hoche,Ile de France,CPGE   ECG,"48.8058, 2.13676"
Public,0920801W,Lycee Alexandre Dumas,Ile de France,CPGE   ECG,"48.8493, 2.2153"
Public,0910627M,Lycee Jean Baptiste Corot,Ile de France,CPGE   ECG      Mathematiques appliquees + ESH,"48.6745, 2.35419"
Public,0950650R,Lycee Jean Jacques Rousseau,Ile de France,CPGE   ECG      Mathematiques appliquees + ESH,"48.9942, 2.38463"
Public,0920145H,Lycee Lakanal,Ile de France,CPGE   ECG      Mathematiques approfondies + HGG,"48.7773, 2.30778"
Public,0190018S,Lycee Pierre Caraminot,Nouvelle Aquitaine,BTS   Production   Management economique de la construction,"45.4066, 2.05986"
Public,0260035X,Lycee CAMILLE VERNET,Auvergne Rhone Alpes,CPGE   ECG,"44.922, 4.90358"
Prive sous contrat d association,0920919Z,Lycee Notre Dame de Ste Croix,Ile de France,CPGE   ECG,"48.882, 2.28066"
Public,0630018C,Lycee Blaise Pascal,Auvergne Rhone Alpes,CPGE   ECG,"45.7753, 3.09421"
Public,0590258K,Lycee Gaston Berger,Hauts de France,CPGE   ECG,"50.6134, 3.0784"
Public,0190038N,Lycee Bernart de Ventadour,Nouvelle Aquitaine,BTS   Services   Economie sociale familiale,"45.5412, 2.31606"
Public,0951399E,Lycee Alfred Kastler,Ile de France,CPGE   ECG,"49.0338, 2.08609"
Public,9741046U,Lycee Marguerite Jauzelon,Reunion,CPGE   ECG,"-20.8953, 55.4497"
Prive sous contrat d association,0783351U,Lycee Notre Dame du Grandchamp,Ile de France,CPGE   ECG,"48.7934, 2.12398"
Public,0782562L,Lycee Hoche,Ile de France,CPGE   ECG,"48.8058, 2.13676"
Public,0380027Y,Lycee Champollion,Auvergne Rhone Alpes,CPGE   ECG,"45.1873, 5.72556"
Prive sous contrat d association,0753897D,Lycee Saint Michel de Picpus,Ile de France,CPGE   ECG,"48.8424, 2.39664"
Public,0510031G,Lycee CLEMENCEAU,Grand Est,CPGE   ECG,"49.2509, 4.04704"
Public,0420041S,Lycee Claude Fauriel,Auvergne Rhone Alpes,CPGE   ECG,"45.438, 4.39398"
Prive sous contrat d association,0350776D,Lycee St Vincent Providence,Bretagne,CPGE   ECG,"48.1137, -1.6647"
Public,0310047H,Lycee Ozenne,Occitanie,CPGE   ECG,"43.6099, 1.44234"
Prive sous contrat d association,0783351U,Lycee Notre Dame du Grandchamp,Ile de France,CPGE   ECG,"48.7934, 2.12398"
Public,0690023A,Lycee Ampere,Auvergne Rhone Alpes,CPGE   ECG,"45.7651, 4.83734"
Prive sous contrat d association,0592940A,Lycee Saint Jean,Hauts de France,CPGE   ECG,"50.3693, 3.08633"
Public,0290007A,Lycee La Perouse   Kerichen,Bretagne,CPGE   ECG,"48.4059, -4.48107"
Public,0680032R,Lycee Michel De Montaigne,Grand Est,CPGE   ECG,"47.7491, 7.34351"
Public,0920801W,Lycee Alexandre Dumas,Ile de France,CPGE   ECG,"48.8493, 2.2153"
Prive sous contrat d association,0350776D,Lycee St Vincent Providence,Bretagne,CPGE   ECG,"48.1137, -1.6647"
Public,0330021U,Lycee Montaigne,Nouvelle Aquitaine,CPGE   ECG,"44.8335, -0.57306"
Public,0940120V,Lycee Marcelin Berthelot,Ile de France,CPGE   ECG,"48.81014, 2.46977"
Public,0540038Y,Lycee Henri Poincare,Grand Est,CPGE   ECG,"48.6915, 6.17955"
Public,0190855B,I.U.T du Limousin   site de Brive,Nouvelle Aquitaine,BUT   Gestion des entreprises et des administrations,"45.1549, 1.5096"
Public,0190862J,I.U.T du Limousin   site de Tulle,Nouvelle Aquitaine,BUT   Genie industriel et maintenance,"45.2607, 1.75044"
Public,0721575W,ESGT Le Mans,Pays de la Loire,Formation d ingenieur Bac + 5   Bac general,"48.0189, 0.15473"
Public,0195014X,Universite de Limoges   Antenne de Brive,Nouvelle Aquitaine,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours STAPS Brive,"45.1547, 1.5092"
Prive enseignement superieur,0690195M,Institut Catholique de Lyon,Auvergne Rhone Alpes,Licence   Double diplome   Licence Droit   DU « Criminologie »,"45.7514, 4.82694"
Prive enseignement superieur,0922369A,EMLV   ecole de Management Leonard De Vinci,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor Digital et International Business,"48.896, 2.23663"
Public,0840685N,Avignon Universite,Provence Alpes Cote d Azur,Licence   Portail Sciences de la vie et de la terre,"43.9499, 4.81762"
Public,0210015C,Lycee Carnot,Bourgogne Franche Comte,CPGE   PCSI,"47.3237, 5.04925"
Prive enseignement superieur,0340139S,"INSTITUT PROTESTANT DE THEOLOGIE, FACULTE LIBRE DE MONTPELLIER",Occitanie,Diplome d Etablissement   Certificat d etudes theologiques,
Public,0210017E,Lycee Montchapet,Bourgogne Franche Comte,BTS   Services   Support à l action manageriale,"47.3345, 5.01713"
Public,0301577B,"Universite de Montpellier, Antenne de Nimes",Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.8212, 4.32081"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.6223, 3.86195"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.635, 3.84674"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Parcours d Acces Specifique Sante (PASS),"43.6223, 3.86195"
Prive sous contrat d association,0312408Z,Lycee Saliege,Occitanie,CPGE   ECG,"43.6045, 1.49452"
Prive sous contrat d association,0312408Z,Lycee Saliege,Occitanie,CPGE   ECG,"43.6045, 1.49452"
Public,0910727W,Lycee Parc de Vilgenis,Ile de France,CPGE   ECG      Mathematiques appliquees + HGG,"48.7312, 2.25247"
Prive sous contrat d association,0783053V,Lycee Sainte Genevieve,Ile de France,CPGE   ECG      Mathematiques approfondies + HGG,"48.8024, 2.15426"
Prive enseignement superieur,0340139S,"INSTITUT PROTESTANT DE THEOLOGIE, FACULTE LIBRE DE MONTPELLIER",Occitanie,"Formation professionnelle   Aumonerie protestante, mediation et societe",
