Année de la campagne de recueil des informations;Code UAI de l’établissement accrédité;Nom officiel (long) de l’établissement accrédité;Nom d’usage de l’établissement accrédité;Adresse de l’établissement accrédité;Complément d’adresse de l’établissement accrédité;Code postal de la ville de l’établissement accrédité;Ville de l’établissement accrédité;Identifiant navette de la mention (INM) de master;Domaine(s) de la mention de master;Intitulé de la mention de master;Mention accréditée ou en cours d’accréditation;Année de début de la période d’accréditation;Année de fin de la période d’accréditation;Mention ouverte ou non ouverte;Etablissement(s) co-accrédité(s) en vue de la délivrance du DNM dans la mention;Inscription des étudiants effectuée ou non par l’établissement dans la mention;Modalités d’enseignement de la mention;Semestre auquel la mention est accessible dans l’établissement accrédité;Existence d’une capacité d’accueil limitée au 1er semestre;Capacité d’accueil limitée au 1er semestre;Licences conseillées pour suivre la formation de la mention;URL de la fiche relative à la mention sur le site internet de l’établissement;etablissement_id_paysage
2020;0450855K;Université d'Orléans;;Château de la Source, avenue du Parc floral;BP6749;45067;ORLEANS CEDEX 2;1800462C;SCIENCES HUMAINES ET SOCIALES;Histoire;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;HCBvW
2020;0490970N;Université d'Angers;;40  RUE DE RENNES;;49035;ANGERS CEDEX 01;1701023N;DROIT, ECONOMIE, GESTION;Droit des affaires;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;35;;;IXHyv
2020;0490970N;Université d'Angers;;40  RUE DE RENNES;;49035;ANGERS CEDEX 01;1701766W;DROIT, ECONOMIE, GESTION;Innovation, entreprise et société;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Non;;;;IXHyv
2020;0490970N;Université d'Angers;;40  RUE DE RENNES;;49035;ANGERS CEDEX 01;1702190G;SCIENCES, TECHNOLOGIES, SANTÉ;Mathématiques et applications;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;65;;;IXHyv
2020;0623957P;Université d'Artois;;9  RUE DU TEMPLE;;62030;ARRAS CEDEX;1501722G;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF);diplôme;2021;2024;0;Université Polytechnique Hauts-de-France,Université du Littoral,Université de Lille;0;Formation initiale;1er semestre;Sans objet;;Toutes licences;http://www.inspe-lille-hdf.fr/;BWbvP
2020;0595964M;Université du Littoral;;1  PLACE DE L'YSER;;59375;DUNKERQUE CEDEX 1;1502017C;SCIENCES HUMAINES ET SOCIALES;Direction de projets ou établissements culturels;diplôme;2020;2024;1;;;Formation initiale;1er semestre;Oui;22;;;yH19Y
2020;0595964M;Université du Littoral;;1  PLACE DE L'YSER;;59375;DUNKERQUE CEDEX 1;1502991L;SCIENCES, TECHNOLOGIES, SANTÉ;Génie industriel;diplôme;2020;2024;1;;;Formation initiale,Formation continue,Alternance;1er semestre;Oui;25;;;yH19Y
2020;0595964M;Université du Littoral;;1  PLACE DE L'YSER;;59375;DUNKERQUE CEDEX 1;1503085N;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif;diplôme;2021;2024;0;Université Polytechnique Hauts-de-France,Université d'Artois,Université de Lille;1;Formation initiale;1er semestre;Sans objet;;;;yH19Y
2020;0597065J;Université de Lille;;42 rue Paul Duez;;59000;LILLE;1501666W;DROIT, ECONOMIE, GESTION;Droit social;diplôme;2020;2024;1;;;Formation initiale,Formation continue;1er semestre;Oui;90;Droit;https://www.univ-lille.fr/formations/typeDiplome/master;Szqy5
2020;0597065J;Université de Lille;;42 rue Paul Duez;;59000;LILLE;1502010V;DROIT, ECONOMIE, GESTION;Economie internationale;diplôme;2020;2024;1;;;Formation initiale,Formation continue;1er semestre;Oui;20;;;Szqy5
2020;0597065J;Université de Lille;;42 rue Paul Duez;;59000;LILLE;1502538U;SCIENCES, TECHNOLOGIES, SANTÉ;Chimie physique et analytique;diplôme;2020;2024;1;Ecole nationale supérieure Mines-Télécom Lille Douai;0;Formation initiale,Formation continue;1er semestre;Oui;30;Chimie,Physique,Physique, chimie;https://www.univ-lille.fr/formations/typeDiplome/master;Szqy5
2020;0597065J;Université de Lille;;42 rue Paul Duez;;59000;LILLE;1502713J;DROIT, ECONOMIE, GESTION;Management et administration des entreprises;diplôme;2020;2024;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;3ème semestre;Sans objet;;;;Szqy5
2020;0597132G;Université Polytechnique Hauts-de-France;;;;59300;AULNOY LEZ VALENCIENNES;1503277X;SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES;Génie civil;diplôme;2020;2024;1;Institut National des Sciences Appliquées Hauts-de-France;0;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;72;;;EW53M
2020;0597132G;Université Polytechnique Hauts-de-France;;;;59300;AULNOY LEZ VALENCIENNES;2000057N;ARTS, LETTRES, LANGUES;Arts, lettres et civilisations;diplôme;2020;2024;1;;;Formation initiale,Formation continue;1er semestre;Oui;85;;;EW53M
2020;0632035V;Université Clermont Auvergne;;49 BOULEVARD FRANCOIS MITTERRAND;;63113;CLERMONT FERRAND CEDEX 2;1302679F;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré;diplôme;2021;2025;1;;;Formation initiale,Formation continue;1er semestre;Oui;175;;;FvH4k
2020;0632035V;Université Clermont Auvergne;;49 BOULEVARD FRANCOIS MITTERRAND;;63113;CLERMONT FERRAND CEDEX 2;1702629J;ARTS, LETTRES, LANGUES;Études européennes et internationales;diplôme;2017;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;75;;;FvH4k
2020;0640251A;Université de Pau;;AVENUE DE L UNIVERSITE;;64012;PAU CEDEX;1602360W;DROIT, ECONOMIE, GESTION;Management et commerce international;diplôme;2016;2021;1;;;Formation initiale,Formation continue,Alternance;1er semestre;Oui;60;;;Mz286
2020;0640251A;Université de Pau;;AVENUE DE L UNIVERSITE;;64012;PAU CEDEX;1602817T;SCIENCES, TECHNOLOGIES, SANTÉ;Informatique;diplôme;2016;2021;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;59;;;Mz286
2020;0640251A;Université de Pau;;AVENUE DE L UNIVERSITE;;64012;PAU CEDEX;1801102Y;SCIENCES, TECHNOLOGIES, SANTÉ;Génie civil;diplôme;2018;2021;1;;;Formation initiale,Formation continue;3ème semestre;Sans objet;;;;Mz286
2020;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG CEDEX;1800615U;SCIENCES, TECHNOLOGIES, SANTÉ;Actuariat;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;25;Mathématiques;http://www.unistra.fr/index.php?id=27887&tx_unistrarof_pi1%5Brof-program%5D=ME197&cHash=c7a4abe849ab96ac7abe5d9c515b676#data-rof-tab-presentation;4k25D
2020;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG CEDEX;1800667A;SCIENCES HUMAINES ET SOCIALES;Psychologie sociale, du travail et des organisations;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Alternance,Apprentissage;1er semestre;Oui;25;Psychologie;http://www.unistra.fr/index.php?id=27887&tx_unistrarof_pi1%5Brof-program%5D=ME15&cHash=c9e4e316ef198f218cbefdef19d2597#data-rof-tab-presentation;4k25D
2020;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG CEDEX;1800674H;ARTS, LETTRES, LANGUES;Langues et sociétés;diplôme;2018;2022;1;;;Formation initiale,Formation continue;1er semestre;Oui;145;;;4k25D
2020;0673021V;Université de Strasbourg;;4  RUE BLAISE PASCAL;;67081;STRASBOURG CEDEX;1800698J;SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES;Géomatique;diplôme;2018;2022;1;Ecole nationale du génie de l'eau et de l'environnement de Strasbourg;0;Formation initiale,Formation continue;1er semestre;Oui;20;;;4k25D
2020;0692437Z;Université Lyon-III;;1  RUE DE L'UNIVERSITE;;69239;LYON CEDEX 02;1601950A;DROIT, ECONOMIE, GESTION;Management;diplôme;2016;2021;1;Université de Saint-Etienne;0;Formation initiale,Alternance;1er semestre;Oui;90;;;7Gzub
2020;0751718K;Université Paris-II;;12  PLACE DU PANTHEON;;75231;PARIS CEDEX 05;1900120F;DROIT, ECONOMIE, GESTION;Droit bancaire et financier;diplôme;2019;2023;1;;;Formation initiale;1er semestre;Non;;;;GBpkg
2020;0690193K;Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement;;1 AVENUE BOURGELAT;;69280;MARCY L ETOILE;1601429J;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences du médicament et des produits de santé;diplôme;2016;2021;0;Université Lyon-I;0;Formation initiale;;;;;;5cuYU
2020;0691774D;Université Lyon-I;;43 BOULEVARD DU 11 NOVEMBRE 1918;;69622;VILLEURBANNE CEDEX;1601875U;Autre Domaine;Staps : activité physique adaptée et santé;diplôme;2016;2021;1;;;Formation initiale,Formation continue,Alternance;1er semestre;Oui;40;;;etBz7
2020;0691774D;Université Lyon-I;;43 BOULEVARD DU 11 NOVEMBRE 1918;;69622;VILLEURBANNE CEDEX;1601919S;SCIENCES, TECHNOLOGIES, SANTÉ;Biologie;diplôme;2016;2021;1;Ecole normale supérieure de Lyon;0;Formation initiale;1er semestre;Oui;28;;;etBz7
2020;0691774D;Université Lyon-I;;43 BOULEVARD DU 11 NOVEMBRE 1918;;69622;VILLEURBANNE CEDEX;1603170B;Autre Domaine;Staps : entraînement et optimisation de la performance sportive;diplôme;2016;2021;1;Université de Saint-Etienne;0;Formation initiale,Formation continue,Alternance,Apprentissage,Hybride;1er semestre;Oui;90;;;etBz7
2020;0691775E;Université Lyon-II;;18  QUAI CLAUDE BERNARD;;69365;LYON CEDEX 07;1602831H;SCIENCES HUMAINES ET SOCIALES;Science politique;diplôme;2016;2021;1;Université de Saint-Etienne,Ecole normale supérieure de Lyon;0;Formation initiale,Formation continue;1er semestre;Oui;100;;;CUBKB
